planes,throws,paperclip,distance,wall_hit
1,1,1,499,0
1,2,1,278.5,1
1,3,1,413.6,1
1,4,1,681.65,0
1,5,1,652.62,1
2,6,0,203,1
2,7,0,659,0
2,8,0,322.79,1
2,9,0,478.81,1
2,10,0,299,1
3,11,0,323.29,1
3,12,0,340.61,1
3,13,0,443.47,1
3,14,0,522.69,1
3,15,0,389.35,1
4,16,0,548.6,0
4,17,0,564.59,1
4,18,0,240.5,1
4,19,0,267.41,1
4,20,0,316.53,0
5,21,0,330.64,0
5,22,0,278.82,1
5,23,0,312.7,1
5,24,0,270.38,1
5,25,0,307.79,1
6,26,0,286.49,1
6,27,0,300,1
6,28,0,312.85,1
6,29,0,275.53,1
6,30,0,279.62,1
7,31,1,285,1
7,32,1,298.22,1
7,33,1,327.4,1
7,34,1,369.5,1
7,35,1,291.79,1
8,36,1,422.23,0
8,37,1,397,1
8,38,1,487.32,0
8,39,1,637.12,0
8,40,1,679.3,0
9,41,1,356.5,0
9,42,1,487.14,0
9,43,1,362.48,0
9,44,1,271,1
9,45,1,408.7,1
10,46,0,705,0
10,47,0,907.9,0
10,48,0,345.5,1
10,49,0,432.8,1
10,50,0,477.5,0
11,51,1,410,0
11,52,1,414.34,0
11,53,1,540.02,0
11,54,1,548.66,0
11,55,1,538.94,0
12,56,0,279.4,1
12,57,0,255.46,1
12,58,0,288.68,1
12,59,0,296.03,1
12,60,0,553.59,0
13,61,0,516.8,0
13,62,0,438.98,0
13,63,0,389,0
13,64,0,394.34,0
13,65,0,460.22,0
14,66,1,580.08,0
14,67,1,452.4,1
14,68,1,281.3,1
14,69,1,500,1
14,70,1,462.43,0
15,71,0,317.31,1
15,72,0,198.42,1
15,73,0,326.21,1
15,74,0,131.11,1
15,75,0,114,1
16,76,0,408.86,1
16,77,0,425.3,1
16,78,0,588.85,0
16,79,0,310.32,1
16,80,0,410.5,1
17,81,1,634.38,0
17,82,1,576.54,0
17,83,1,570,0
17,84,1,618.63,0
17,85,1,651.54,0
18,86,0,125,1
18,87,0,358.15,0
18,88,0,330.03,1
18,89,0,590,0
18,90,0,234.45,1
19,91,0,494.1,0
19,92,0,326.7,0
19,93,0,283.4,1
19,94,0,448.19,0
19,95,0,250.07,1
20,96,1,591.54,0
20,97,1,551.23,0
20,98,1,464.78,1
20,99,1,357.2,1
20,100,1,416.62,1
21,101,1,293.46,1
21,102,1,519.87,0
21,103,1,481.42,0
21,104,1,450,0
21,105,1,448.53,1
22,106,1,535.73,1
22,107,1,370.93,1
22,108,1,738.17,0
22,109,1,761.08,0
22,110,1,433.6,1
23,111,1,385.87,1
23,112,1,512.37,1
23,113,1,448.97,1
23,114,1,424.71,1
23,115,1,609.5,0
24,116,0,283.23,1
24,117,0,365.89,1
24,118,0,292.74,1
24,119,0,368.64,1
24,120,0,382.38,1
25,121,1,426.78,1
25,122,1,432.86,1
25,123,1,609.22,0
25,124,1,392.32,1
25,125,1,564.16,0
26,126,0,383.67,0
26,127,0,410.18,0
26,128,0,309.44,1
26,129,0,302.98,1
26,130,0,268.6,1
27,131,1,407,0
27,132,1,467.7,0
27,133,1,462.31,0
27,134,1,432.87,1
27,135,1,453.66,1
28,136,0,406.41,0
28,137,0,60.92,1
28,138,0,405.56,0
28,139,0,442.36,0
28,140,0,270.32,1
29,141,1,479.45,0
29,142,1,446.81,0
29,143,1,465.19,0
29,144,1,415.63,1
29,145,1,453.71,0
30,146,1,756.33,0
30,147,1,533.21,0
30,148,1,678.34,0
30,149,1,512.55,1
30,150,1,566.94,1
